liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.53	0.01	0.54	0
768	1.15	0.03	1.18	0
1024	2.09	0.06	2.15	0
1280	3.2	0.12	3.32	0
1536	4.55	0.19	4.74	0
1792	6.15	0.29	6.44	0
2048	8.12	0.43	8.55	0
2304	10.21	0.61	10.82	0
2560	12.93	0.82	13.75	0
2816	15.19	1.1	16.29	0
3072	17.98	1.37	19.35	0
3328	21.21	1.74	22.95	0
3584	24.5	2.14	26.64	0
3840	28.04	2.62	30.66	0
4096	31.69	3.17	34.86	0
4608	40.82	4.51	45.33	0
5120	49.87	6.11	55.98	0
5632	60.44	8.05	68.49	0
6144	72.05	10.42	82.47	0
6656	84.12	13.1	97.22	0
7168	97.78	16.37	114.15	0
7680	110.4	19.93	130.33	0
8192	128.11	24.39	152.5	0
9216	160.2	34.66	194.86	0
10240	228.5	51.59	280.09	0
11264	239.8	68.41	308.21	0
12288	324.11	86.94	411.05	0
13312	381.3	109.8	491.1	0
14336	426.1	137.6	563.7	0
15360	446.8	158.1	604.9	0
16384	511.52	191.31	702.83	0
17408	579.61	230.18	809.79	0
18432	643.19	272.64	915.83	0
19456	730.22	319.31	1049.53	0
20480	794.7	375.42	1170.12	0

