liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.02	0.35	0.37	0
768	0.06	1.29	1.35	0
1024	0.1	3.03	3.13	0
1280	0.14	5.86	6	0
1536	0.18	10.04	10.22	0
1792	0.29	15.83	16.12	0
2048	0.4	23.58	23.98	0
2304	0.48	33.48	33.96	0
2560	0.56	46.28	46.84	0
2816	0.71	61.71	62.42	0
3072	0.82	80.15	80.97	0
3328	1.07	101.9	102.97	0
3584	1.21	127.4	128.61	0
3840	1.44	156.5	157.94	0
4096	1.64	190.1	191.74	0
4608	2.11	272.3	274.41	0
5120	2.66	373.3	375.96	0
5632	3.17	497.7	500.87	0
6144	3.82	649.3	653.12	0
6656	4.45	829.4	833.85	0
7168	5.17	1037	1042.17	0
7680	6.09	1275	1281.09	0
8192	6.73	1549	1555.73	0

