liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	26.50	0.04	1.80	5.64
768	28.75	0.03	1.27	4.70
1024	29.86	0.03	1.00	3.80
1280	32.00	0.03	0.82	3.19
1536	32.50	0.03	0.69	2.73
1792	34.17	0.03	0.60	2.35
2048	32.48	0.03	0.53	2.11
2304	26.87	0.03	0.48	1.88
2560	29.39	0.03	0.44	1.75
2816	29.21	0.03	0.39	1.55
3072	27.66	0.03	0.36	1.42
3328	27.55	0.03	0.34	1.32
3584	28.82	0.03	0.31	1.23
3840	27.49	0.03	0.29	1.16
4096	27.56	0.02	0.27	1.09
4608	27.96	0.02	0.25	0.98
5120	28.66	0.02	0.22	0.89
5632	27.60	0.02	0.20	0.81
6144	27.93	0.02	0.19	0.75
6656	27.95	0.02	0.18	0.70
7168	28.02	0.02	0.16	0.66
7680	28.09	0.02	0.15	0.61
8192	28.41	0.02	0.15	0.59
9216	27.96	0.02	0.13	0.53
10240	32.37	0.03	0.14	0.55

