liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.01	0.01	0.02	0
768	0.04	0.03	0.07	0
1024	0.06	0.07	0.13	0
1280	0.09	0.13	0.22	0
1536	0.12	0.22	0.34	0
1792	0.15	0.33	0.48	0
2048	0.18	0.48	0.66	0
2304	0.25	0.68	0.93	0
2560	0.29	0.95	1.24	0
2816	0.33	1.28	1.61	0
3072	0.38	1.53	1.91	0
3328	0.46	1.96	2.42	0
3584	0.61	2.36	2.97	0
3840	0.71	2.89	3.6	0
4096	0.82	3.52	4.34	0
4608	1.05	4.95	6	0
5120	1.35	6.81	8.16	0
5632	1.58	8.79	10.37	0
6144	1.96	11.54	13.5	0
6656	2.16	15.3	17.46	0
7168	2.56	17.73	20.29	0
7680	2.86	23.55	26.41	0
8192	3.27	26.58	29.85	0
9216	3.99	37.88	41.87	0
10240	4.61	51.43	56.04	0
11264	6.17	67.94	74.11	0
12288	8.89	92.75	101.64	0

