liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	53.00	1.00	27.00	19.10
768	57.50	1.00	23.60	28.20
1024	52.25	1.00	21.50	27.84
1280	64.00	0.86	17.47	28.90
1536	56.88	0.83	15.29	26.64
1792	55.91	0.85	14.31	24.73
2048	58.00	0.88	13.57	24.42
2304	60.06	0.86	12.30	22.97
2560	64.65	0.86	11.96	22.43
2816	66.04	0.89	11.16	20.79
3072	64.21	0.87	10.46	19.43
3328	53.03	0.88	9.68	18.38
3584	53.26	0.88	9.19	17.78
3840	58.42	0.88	8.84	16.91
4096	57.62	0.96	9.03	17.65
4608	56.69	0.89	7.80	15.17
5120	48.42	0.87	6.92	14.01
5632	49.14	0.88	6.62	13.20
6144	49.35	0.87	6.15	12.35
6656	50.67	0.87	5.82	11.70
7168	49.38	0.88	5.53	11.10
7680	50.88	0.90	5.38	10.71
8192	52.94	0.96	5.47	10.52
9216	53.22	0.94	4.90	9.84
10240	70.74	1.00	5.10	10.46
11264	59.95	1.01	4.29	9.79
12288	72.18	0.98	4.42	8.69
13312	72.49	0.99	4.25	8.80
14336	58.61	1.03	4.01	8.25

