liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.4	0.01	0.41	0
768	0.72	0.04	0.76	0
1024	1.17	0.08	1.25	0
1280	1.7	0.15	1.85	0
1536	2.4	0.23	2.63	0
1792	3.15	0.35	3.5	0
2048	4.05	0.52	4.57	0
2304	5.05	0.71	5.76	0
2560	6.12	0.95	7.07	0
2816	7.52	1.27	8.79	0
3072	8.9	1.58	10.48	0
3328	10.26	1.99	12.25	0
3584	11.87	2.48	14.35	0
3840	13.69	3.07	16.76	0
4096	15.7	3.66	19.36	0
4608	20.27	5.1	25.37	0
5120	25.67	7	32.67	0
5632	32.93	9.05	41.98	0
6144	39.42	11.8	51.22	0
6656	49.95	14.75	64.7	0
7168	57.39	18.48	75.87	0
7680	67.21	22.33	89.54	0
8192	77.62	27.82	105.44	0

