liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	2.12	1.00	2.08	4,17
768	2.09	1.00	2.03	5,38
1024	2.25	0.86	2.15	5,77
1280	2.21	1.00	2.11	5,88
1536	2.24	0.90	2.12	5,99
1792	2.22	0.91	2.08	6,01
2048	2.29	0.93	2.13	6,08
2304	2.27	0.94	2.10	6,04
2560	2.30	0.93	2.12	6,17
2816	2.25	0.96	2.06	5,98
3072	1.97	0.91	1.82	5,90
3328	2.22	0.94	2.01	5,91
3584	2.22	0.93	2.00	5,88
3840	2.23	0.94	1.99	5,84
4096	2.19	0.94	1.96	5,81
4608	2.21	0.92	1.94	5,70
5120	2.17	0.94	1.90	4,80
5632	2.17	0.95	1.88	5,57
6144	2.12	0.94	1.83	5,42
6656	2.14	0.94	1.83	5,40
7168	2.04	0.93	1.74	5,25
7680	2.06	0.93	1.74	5,14
8192	2.03	0.94	1.71	5,08
9216	1.99	0.94	1.66	4,93
10240	2.22	1.02	1.83	5,41
11264	1.87	1.02	1.58	5,41
12288	2.06	0.77	1.53	4,83

