512	0.01	0.02	0.03	0.46	13.78
768	0.06	0.06	0.12	0.59	23.90
1024	0.1	0.13	0.23	0.75	33.41
1280	0.18	0.25	0.43	0.99	39.70
1536	0.27	0.45	0.72	1.31	43.51
1792	0.51	0.74	1.25	1.86	41.48
2048	0.63	1.12	1.75	2.34	43.62
2304	0.84	1.55	2.39	3.03	42.61
2560	1.23	2.02	3.25	3.74	43.91
2816	1.41	2.67	4.08	4.71	41.23
3072	1.68	3.71	5.39	6.06	38.09
3328	1.88	4.63	6.51	7.35	37.12
3584	2.29	5.64	7.93	8.79	36.20
3840	2.71	7.17	9.88	10.47	34.96
4096	3.24	8.61	11.85	12.62	33.15
4608	4.21	12.44	16.65	17.23	31.21
5120	4.99	17.2	22.19	23.51	28.50
