512	0.53	0.01	0.54	3.17
768	1.15	0.03	1.18	7.05
1024	2.09	0.06	2.15	12.53
1280	3.2	0.12	3.32	19.65
1536	4.55	0.19	4.74	28.5
1792	6.15	0.29	6.44	38.58
2048	8.12	0.43	8.55	51.04
2304	10.21	0.61	10.82	64.55
2560	12.93	0.82	13.75	82.11
2816	15.19	1.1	16.29	97.1
3072	17.98	1.37	19.35	115.4
3328	21.21	1.74	22.95	136.4
3584	24.5	2.14	26.64	159.1
3840	28.04	2.62	30.66	183
4096	31.69	3.17	34.86	209.2
4608	40.82	4.51	45.33	268.9
5120	49.87	6.11	55.98	335
5632	60.44	8.05	68.49	409.6
6144	72.05	10.42	82.47	492.5
6656	84.12	13.1	97.22	582.4
7168	97.78	16.37	114.15	684.1
7680	110.4	19.93	130.33	786.8
8192	128.11	24.39	152.5	912.5
9216	160.2	34.66	194.86	1175.3
10240	228.5	51.59	280.09	1686.6
11264	239.8	68.41	308.21	2124.5
12288	324.11	86.94	411.05	2459.9
13312	381.3	109.8	491.1	3078.8
14336	426.1	137.6	563.7	3467.3
15360	446.8	158.1	604.9	3625.1
16384	511.52	191.31	702.83	4220.3
17408	579.61	230.18	809.79	4853.2
18432	643.19	272.64	915.83	5491.3
19456	730.22	319.31	1049.53	6289
20480	794.7	375.42	1170.12	7053
