512	0.02	0.28	0.3	0.75	5.64
768	0.04	0.89	0.93	2	4.70
1024	0.07	2.07	2.14	4.4	3.80
1280	0.1	3.93	4.03	8.22	3.19
1536	0.14	6.77	6.91	13.94	2.73
1792	0.18	10.61	10.79	21.86	2.35
2048	0.25	15.85	16.1	32.3	2.11
2304	0.38	22.37	22.75	45.75	1.88
2560	0.44	30.82	31.26	62.55	1.75
2816	0.52	40.98	41.5	83.38	1.55
3072	0.65	53.19	53.84	108.1	1.42
3328	0.77	67.66	68.43	137.3	1.32
3584	0.85	85.05	85.9	172	1.23
3840	1.02	103.9	104.92	210.8	1.16
4096	1.15	127.4	128.55	256.8	1.09
4608	1.46	181.5	182.96	366.4	0.98
5120	1.74	249.4	251.14	502.8	0.89
5632	2.19	333.1	335.29	670.8	0.81
6144	2.58	432.8	435.38	871.2	0.75
6656	3.01	551.3	554.31	1109	0.70
7168	3.49	691.6	695.09	1390.6	0.66
7680	3.93	849.5	853.43	1707.4	0.61
8192	4.51	1031	1035.51	2072	0.59
9216	5.73	1471	1476.73	2954	0.53
10240	7.06	2021	2028.06	4056	0.55
