512	0.32	0.01	0.33	0.83	3.82
768	0.62	0.03	0.65	1.77	3.98
1024	1.04	0.07	1.11	3.07	4.08
1280	1.53	0.13	1.66	4.74	4.15
1536	2.15	0.21	2.36	6.75	4.22
1792	2.84	0.32	3.16	9.26	4.17
2048	3.62	0.47	4.09	12.07	4.23
2304	4.36	0.63	4.99	15.35	4.21
2560	5.4	0.84	6.24	19.02	4.32
2816	6.52	1.1	7.62	23.18	4.19
3072	7.83	1.42	9.25	28	4.12
3328	9.1	1.81	10.91	33.14	4.12
3584	10.51	2.21	12.72	38.68	4.11
3840	12.05	2.7	14.75	44.7	4.09
4096	13.86	3.28	17.14	51.74	4.04
4608	17.47	4.62	22.09	66.9	4.02
5120	21.32	6.39	27.71	85.06	3.94
5632	26.36	8.37	34.73	105	3.90
6144	32.16	10.76	42.92	129	3.82
6656	37.31	13.59	50.9	153.7	3.79
7168	43.44	17.39	60.83	183.1	3.74
7680	51.16	20.73	71.89	220	3.58
8192	57.83	25.47	83.3	251.4	3.63
9216	84.73	37.17	121.9	351.2	3.35
10240	103.7	50.77	154.47	458.2	3.68
11264	113.7	65.43	179.13	539.9	3.93
12288	131.6	83.79	215.39	652.1	3.77
13312	161.9	107.1	269	814.1	3.78
14336	186.6	133.9	320.5	969.6	3.58

